Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
Monitor-Super Sunday,"Aim Media Texas, LLC",McAllen,TX,BE,AAM,03/2013-AR,"2,151",
Montana Newspaper Group,"Lee Enterprises, Incorporated",Billings,MT,DLY,AAM,See Reports,,
Montana Standard,"Lee Enterprises, Incorporated",Butte-Anaconda,MT,CND,AAM,09/2013-AR,"12,162","12,153"
Monterey County The Herald,"MediaNews Group, Inc.",Monterey,CA,CND,AAM,09/2012-AR,"50,388","23,831"
Monterey County The Herald-Salinas Valley Weekly,"MediaNews Group, Inc.",Monterey,CA,BE,AAM,Click Qtrly,,
Montgomery Advertiser,Gannett Company Inc.,Montgomery,AL,DLY,AAM,03/2013-AR,"40,500","30,869"
Montgomery County,"Philadelphia Tribune Company, Inc.",Philadelphia,PA,WKL,AAM,09/2012-AR,,"7,750"
Montgomery Life,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,449
Montgomery Newspapers,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,"20,768"
Monticello Times,ECM Sun Group LLC,Monticello,MN,WKL,CAC,09/2012-AR,"22,638","1,692"
Mooresville Tribune,World Media Enterprise,Mooresville,NC,WKL,CAC,12/2012-AR,"11,916","4,766"
Morning Call,Tribune Publishing Company,Allentown,PA,DLY,AAM,12/2013-AR,"118,730","75,231"
Morning Journal,21st Century Media,Lorain,OH,DLY,AAM,03/2011-AR,"23,007","22,221"
Morning Journal,"Ogden Newspapers, Inc.",Lisbon,OH,CND,AAM,09/2012-AR,"9,584","9,989"
Morning News,Media General,Florence,SC,DLY,CAC,03/2013-AR,"26,878","21,846"
"Morning Sentinel, Sunday Morning Sentine",MaineToday Media,Waterville,ME,CND,AAM,03/2013-AR,"13,670","13,610"
Morning Sun,21st Century Media,Mount Pleasant,MI,CND,AAM,03/2012-AR,"9,337","8,038"
Morris Daily Herald,Shaw Media,Morris,IL,DLY,CAC,06/2012-AR,,"5,129"
Morrison County Record,ECM Publishers Inc.,Little Falls,MN,WKL,CAC,12/2012-AR,"19,099",
Moundsview/New Brighton/St. Anthony,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"10,923"
Mountain Democrat,"Mountain Democrat, Inc.",Placerville,CA,WKL,CAC,12/2012-AR,,"9,615"
Mountain Eagle,The Mountain Eagle LP,Whitesburg,KY,CNW,AAM,03/2013-AR,,"5,862"
Mt. Clemen-Macomb-Clinton-Harrison,21st Century Media,Shelby,MI,WKL,CAC,09/2013-AR,"39,622",
Mukwonago Chief,Journal Community Publishing Group,Hartland,WI,WKL,AAM,03/2012-AR,,"3,471"
The Murfreesboro Post,"Murfreesboro Post, LLC",Murfreesboro,TN,WKL,CAC,09/2012-AR,,"14,751"
Muscatine Journal,"Lee Enterprises, Incorporated",Muscatine,IA,CND,AAM,09/2012-AR,"5,848","5,833"
Muskegon Chronicle,"Advance Publications, Inc.",Muskegon,MI,DLY,AAM,12/2012-AR,"35,109","6,207"
Muskogee Phoenix,"Community Newspaper Holdings, Inc. (CNHI)",Muskogee,OK,CND,AAM,09/2012-AR,"12,716","11,456"
Nanaimo Daily News,Glacier Media Group,Nanaimo,BC,DLY,AAM,06/2012-AR,,"6,048"
Nanaimo News Bulletin,"Black Press Group, Ltd.",Nanaimo,BC,WKL,AAM,03/2014-AR,,"32,018"
Napa Valley Register,"Lee Enterprises, Incorporated",Napa,CA,CND,AAM,03/2014-AR,"12,126","11,947"
Naples Daily News,E.W. Scripps Co.,Naples,FL,DLY,AAM,06/2013-AR,"69,071","62,157"
Naples Florida Weekly,Florida Weekly,Fort Myers,FL,WKL,CAC,03/2013-AR,,"16,126"
Narragansett Times,Southern Rhode Island Newspapers,Wakefield,RI,WKL,CAC,06/2013-AR,,"2,697"
National Post,Postmedia Network Inc.,Toronto,ON,DLY,AAM,09/2013-AR,"167,240","163,137"
Needham Times,GateHouse Media,Needham,MA,WKL,AAM,03/2014-AR,,"10,567"
"Neighbor Newspapers, Inc.","Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"365,222"
Nevada Appeal,Swift Publications,Carson City,NV,DLY,CAC,12/2013-AR,"16,375","12,108"
New Braufels Herald-Zeitung,Herald-Zeitung Newspapers,New Braunfels,TX,DLY,CAC,03/2013-AR,"8,914","7,388"
New Castle News,"Community Newspaper Holdings, Inc. (CNHI)",New Castle,PA,CND,AAM,06/2012-AR,,"14,207"
"New Hampshire Union Leader, NH Sun. News",Union Leader Corporation,Manchester,NH,DLY,AAM,03/2013-AR,"58,674","42,581"
New Haven Register,21st Century Media,New Haven,CT,DLY,AAM,09/2013-AR,"72,615","44,010"
New Haven Register-Middletown Press,21st Century Media,New Haven,CT,BE,AAM,09/2013-AR,"2,693","4,220"
New Haven Register-Milford Orange Bulletin,21st Century Media,New Haven,CT,BE,AAM,09/2013-AR,,"30,833"
New Haven Register-Shoreline Times,21st Century Media,New Haven,CT,BE,AAM,09/2013-AR,,"53,919"
New Hope/Golden Valley,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"10,398"
New Jersey Herald New Jersey Sunday Herald,New Jersey Herald Inc.,Newton,NJ,CND,AAM,12/2013-AR,"16,763","11,580"
New York Amsterdam News,Amnews Corporation,New York,NY,CNW,AAM,03/2013-AR,,"13,535"
New York Post,News Corporation,New York,NY,DLY,AAM,09/2013-AR,"439,850","547,508"
New York Times,New York Times Company,New York,NY,DLY,AAM,09/2013-AR,"2,356,551","1,852,698"
New York Times-International New York Times,New York Times Company,New York,NY,BE,AAM,Click Qtrly,,
News & Advance,"BH Media Group Holdings, Inc.",Lynchburg,VA,DLY,AAM,03/2013-AR,"32,353","25,686"
News & Observer,McClatchy Company,Raleigh,NC,DLY,AAM,12/2013-AR,"171,682","123,101"
News & Record,"BH Media Group Holdings, Inc.",Greensboro,NC,DLY,AAM,12/2013-AR,"75,951","51,114"
News Chief,Halifax Media Holdings LLC,Winter Haven,FL,CND,AAM,06/2013-AR,"4,597","3,638"
News-Dispatch,Paxton Media Group Inc.,Michigan City,IN,CND,AAM,09/2013-AR,"7,738","6,731"
News Herald,Gannett Company Inc.,Port Clinton,OH,CND,AAM,09/2013-AR,61,"2,402"
News Item,News-Item,Shamokin,PA,CND,AAM,12/2013-AR,"8,040","8,087"
News Journal,Gannett Company Inc.,Mansfield,OH,CND,AAM,12/2013-AR,"26,150","17,707"
News Leader,Gannett Company Inc.,Staunton,VA,CND,AAM,09/2013-AR,"16,323","13,061"
News Messenger,Gannett Company Inc.,Fremont,OH,CND,AAM,09/2013-AR,139,"5,660"
News Messenger,Cox Newspapers,Marshall,TX,CND,AAM,06/2012-AR,"5,805","5,614"
News Sun,KPC Media Group Inc.,Kendallville,IN,DLY,AAM,12/2012-AR,"7,605","8,272"
News Sun,"Advance Publications, Inc.",Cleveland,OH,WKL,AAM,09/2013-AR,,"8,319"
News Transcript,Greater Media Newspapers,Manalapan,NJ,WKL,CAC,09/2013-AR,,"39,255"
News Tribune,Central Missouri Newspapers Inc.,Jefferson City,MO,CND,AAM,09/2013-AR,"19,938","15,908"
News Tribune,McClatchy Company,Tacoma,WA,DLY,AAM,12/2013-AR,"86,742","66,638"
News Tribune-The Peninsula Gateway,McClatchy Company,Tacoma,WA,BE,AAM,12/2013-AR,,"5,284"
News Tribune-Yes! Your Essential Shopper,McClatchy Company,Tacoma,WA,BE,AAM,12/2013-AR,"30,576",
News Virginian,"BH Media Group Holdings, Inc.",Waynesboro,VA,DLY,AAM,09/2012-AR,"5,887","6,054"
News-Enterprise,"Landmark Community Newspapers, LLC",Elizabethtown,KY,DLY,AAM,12/2013-AR,"17,437","12,505"
News-Gazette,"News Gazette, Inc.",Champaign-Urbana,IL,DLY,AAM,09/2012-AR,"43,729","39,916"
News-Gazette-Leroy Farmer City Press,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,797
News-Gazette-Mahomet Citizen,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,"1,551"
News-Gazette-Paxton Record,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,"2,653"
News-Gazette-Piatt County Journal Republican,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,"2,904"
News-Gazette-Rantoul Press,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,447
News-Gazette-The County Star,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,"1,280"
News-Gazette-The Independent News,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,473
News-Gazette-The Leader,"News Gazette, Inc.",Champaign-Urbana,IL,BE,AAM,09/2012-AR,,"1,133"
News-Herald,21st Century Media,Willoughby,OH,DLY,AAM,03/2011-AR,"40,298","34,070"
News-Herald-County Chat,21st Century Media,Willoughby,OH,BE,AAM,Click Qtrly,,
News-Leader,Gannett Company Inc.,Springfield,MO,DLY,AAM,12/2011-AR,"64,762","38,330"
News-Leader-Yes! Your Essential Shopper,Gannett Company Inc.,Springfield,MO,BE,AAM,Click Qtrly,,
News-Press,Gannett Company Inc.,Fort Myers,FL,DLY,AAM,03/2013-AR,"82,202","59,049"
News-Star,Gannett Company Inc.,Monroe,LA,CND,AAM,12/2012-AR,"27,386","20,870"
News-Times,Hearst Newspapers,Danbury,CT,DLY,AAM,09/2013-AR,"27,367","21,106"
News-Tribune,"The Daily News-Tribune, Inc.",LaSalle,IL,DLY,CAC,09/2013-AR,,"16,957"
News-Tribune,Blenheim Publisher Ltd.,Blenheim,ON,CNW,AAM,12/2013-AR,,"2,284"
Newsday,Newsday Holdings LLC,Long Island,NY,DLY,AAM,09/2013-AR,"477,238","427,721"
Newton Tab,GateHouse Media,Needham,MA,WKL,AAM,03/2014-AR,,"26,694"
Niagara Gazette,"Community Newspaper Holdings, Inc. (CNHI)",Niagara Falls,NY,DLY,AAM,09/2012-AR,"13,246","13,909"
Nifty Nickel,Stephens Media Group,Las Vegas,NV,WKL,CAC,09/2013-AR,,"64,039"
Nordonia News-Leader,Dix Communicatons,Ravenna,OH,WKL,CAC,03/2012-AR,,"13,235"
Norfolk Daily News,Huse Publishing,Norfolk,NE,CND,AAM,03/2014-AR,,"14,615"
Norman Transcript,"Community Newspaper Holdings, Inc. (CNHI)",Norman,OK,CND,AAM,09/2012-AR,"11,252","10,714"
North Andover Citizen,GateHouse Media,North Andover,MA,WKL,AAM,03/2013-AR,,"1,136"
North Cobb Neighbor,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"23,203"
North County News,Patuxent Publishing Company,Baltimore,MD,WKL,CAC,09/2013-AR,,
North Jersey Deals,North Jersey Media Group,Hackensack,NJ,WKL,AAM,12/2013-AR,,"55,839"
North Kitsap Herald,Sound Publishing,Poulsbo,WA,WKL,CAC,03/2012-AR,,"12,179"
North Lake Tahoe Bonanza,Swift Publications,Incline Village,NV,WKL,CAC,12/2013-AR,,"3,271"
North Penn Life,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,993
North Platte Telegraph,North Platte Publishing Company,North Platte,NE,DLY,CAC,12/2012-AR,"9,641","9,693"
North Raleigh News,A Div. of the News and Observer Pub. Co.,Raleigh,NC,WKL,CAC,03/2012-AR,"71,375","63,600"
North Shore Today,"The Sale Line, Inc.",Hicksville,NY,WKL,CAC,09/2013-AR,,"144,062"
Northeast Booster/Reporter,Patuxent Publishing Company,Baltimore,MD,WKL,CAC,09/2013-AR,,
Northeast Mississippi Daily Journal,"Journal, Inc.",Tupelo,MS,DLY,AAM,12/2013-AR,"32,567","31,606"
Northern Valley Suburbanite,North Jersey Media Group,Creskill,NJ,WKL,AAM,12/2013-AR,,"13,211"
Northern Virginia Daily,"Ogden Newspapers, Inc.",Strasburg,VA,CND,AAM,09/2013-AR,"11,813","10,994"
Northern Virginia Media Services,HPR-Hemlock LLC d/b/a Northern Virginia Media Services,McClean,VA,WKL,CAC,See Reports,,
Northfield News,Southern Minnesota Media,Faribault,MN,WKL,CAC,12/2013-AR,,"6,449"
Northside/Sandy Springs/Vinings,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"27,328"
Northville Record,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,,"4,447"
Northwest Florida Daily News,"Halifax Media Holdings, LLC",Fort Walton Beach,FL,DLY,CAC,12/2012-AR,"29,744","24,761"
Northwest Herald,Shaw Media,Crystal Lake,IL,DLY,AAM,03/2012-AR,"34,093","31,023"
Northwest Philadelphia Metro Edition,"Philadelphia Tribune Company, Inc.",Philadelphia,PA,WKL,AAM,09/2012-AR,,"59,329"
Norwalk Reflector,Reflector-Herald Inc.,Norwalk,OH,CND,AAM,03/2012-AR,,"8,755"
Norwell Mariner,GateHouse Media,Norwell,MA,WKL,AAM,03/2013-AR,,"1,368"
Novedades News,Novedades News,Dallas,TX,WKL,CAC,06/2013-AR,,"37,679"
Novi News,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,,"3,268"
O' Jornal,Gatehouse Media,Fall River,MA,WKL,CAC,06/2013-AR,,"9,981"
Oak Bay News,"Black Press Group, Ltd.",Victoria,BC,WKL,AAM,03/2014-AR,,"6,220"
Observer & Eccentric Media,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,"75,461","68,893"
Observer Daily & Sunday,"Ogden Newspapers, Inc.",Dunkirk-Fredonia,NY,CND,AAM,06/2013-AR,"8,156","7,752"
Observer Dispatch,GateHouse Media,Utica,NY,DLY,AAM,09/2012-AR,"39,794","31,514"
Observer Dispatch-Alacarte,GateHouse Media,Utica,NY,BE,AAM,Click Qtrly,,
Observer Reporter,Observer Publishing Company,Washington,PA,DLY,AAM,12/2013-AR,"30,787","26,222"
Ocala Star-Banner,Halifax Media Holdings LLC,Ocala,FL,DLY,AAM,03/2013-AR,"39,161","28,640"
Oconomowoc Focus,Journal Community Publishing Group,Hartland,WI,WKL,AAM,03/2012-AR,,"1,706"
Odessa American,"AIM Media Texas, LLC",Odessa,TX,CND,AAM,03/2013-AR,"14,882","13,879"
Odessa American-Basin Smart Shopper,"AIM Media Texas, LLC",Odessa,TX,BE,AAM,Click Qtrly,,
Okanogan Valley Gazette Tribune,Sound Publishing,Oroville,WA,WKL,CAC,03/2012-AR,,"1,604"
Oklahoman,Oklahoma Publishing Company,Oklahoma City,OK,DLY,AAM,09/2013-AR,"166,074","110,532"
Old Autos,"Old Autos Publications, Inc.",Bothwell,ON,CNW,AAM,06/2012-AR,,"18,250"
Old Colony Memorial,Memorial Press Group Newspapers,Marshfield,MA,WKL,CAC,09/2013-AR,,"6,117"
Olean Times Herald,Bradford Publishing Company,Olean,NY,CND,AAM,06/2012-AR,"12,508","11,413"
Olympian,McClatchy Company,Olympia,WA,DLY,AAM,12/2012-AR,"28,191","23,108"
Olympian-Yes!,McClatchy Company,Olympia,WA,BE,AAM,Click Qtrly,,
Omaha World Herald Sunday World Herald,Omaha World-Herald Company,Omaha,NE,DLY,AAM,12/2012-AR,"165,434","132,416"
Oneida Daily Dispatch,21st Century Media,Oneida,NY,CND,AAM,03/2012-AR,,"6,106"
Opelika-Auburn News,"BH Media Group Holdings, Inc.",Opelika,AL,CND,AAM,12/2012-AR,"13,890","13,805"
Oregon Legal Journal,Washington Legal Journal,Lake Oswego,OR,WKL,CAC,09/2013-AR,,"2,982"
Oregonian,Oregonian Publishing Company,Portland,OR,DLY,AAM,03/2013-AR,"299,307","226,566"
Oregonian-Beaverton Leader,Oregonian Publishing Company,Portland,OR,BE,AAM,Click Qtrly,,
Oregonian-Forest Grove Leader,Oregonian Publishing Company,Portland,OR,BE,AAM,03/2013-AR,,"8,557"
Oregonian-Hillsboro Argus,Oregonian Publishing Company,Portland,OR,BE,AAM,03/2013-AR,,"5,081"
Oregonian-The Sunday Oregonian Comics,Oregonian Publishing Company,Portland,OR,BE,AAM,03/2013-AR,"18,082",
Orlando Sentinel,Tribune Publishing Company,Orlando,FL,DLY,AAM,03/2013-AR,"270,040","161,837"
Orlando Sentinel-El Sentinel,Tribune Publishing Company,Orlando,FL,BE,AAM,03/2013-AR,"99,150","99,150"
Oshkosh Northwestern,Gannett Company Inc.,Oshkosh,WI,CND,AAM,03/2014-AR,"17,970","12,700"
Osseo-Maple Grove Life (Free Section),ECM Sun Group LLC,Osseo,MN,WKL,CAC,09/2012-AR,"14,172",
Osseo-Maple Grove Press,ECM Sun Group LLC,Osseo,MN,WKL,CAC,09/2012-AR,,"3,314"
Ottawa Citizen,Postmedia Network Inc.,Ottawa,ON,DLY,AAM,03/2014-AR,"104,900","111,906"
Our Town,Straus Newspapers,Chester,NY,WKL,CAC,06/2013-AR,,"6,611"
Owatonna Area Shopper,Southern Minnesota Media,Faribault,MN,WKL,CAC,12/2013-AR,"7,226",
Owatonna People's Press,"Huckle Media, Inc.",Owatonna,MN,DLY,CAC,12/2012-AR,"6,235","6,189"
Owatonna People's Press and Area Shopper,Southern Minnesota Media,Faribault,MN,DLY,CAC,See Reports,,
Owings Mills Times,Patuxent Publishing Company,Baltimore,MD,WKL,CAC,09/2013-AR,,
Oxford Press,"Cox Media Group Ohio, Inc.",Oxford,OH,WKL,AAM,03/2013-AR,,"2,131"
Pacifica Tribune,"MediaNews Group, Inc.",Pacifica,CA,WKL,AAM,03/2014-AR,,"4,269"
Palladium-Item,Gannett Company Inc.,Richmond,IN,CND,AAM,06/2013-AR,"15,258","9,768"
Palm Beach Gardens Florida Weekly,Florida Weekly,Fort Myers,FL,WKL,CAC,03/2013-AR,,"12,307"
Panama City News-Herald,"Halifax Media Holdings, LLC",Panama City,FL,DLY,CAC,12/2012-AR,"27,153","21,980"
Pantagraph,"Lee Enterprises, Incorporated",Bloomington-Normal,IL,DLY,AAM,03/2014-AR,"37,980","32,636"
Pantagraph-Gibson City Courier,"Lee Enterprises, Incorporated",Bloomington-Normal,IL,BE,AAM,03/2014-AR,,953
Pantagraph-Woodford County Journal - Eureka,"Lee Enterprises, Incorporated",Bloomington-Normal,IL,BE,AAM,03/2014-AR,,"1,349"
Pantagraph-Woodford County Journal - Roanoke,"Lee Enterprises, Incorporated",Bloomington-Normal,IL,BE,AAM,03/2014-AR,,972
Parade,"Parade Publications, Inc.",New York,NY,DLY,AAM,See Reports,,
Parksville Qualicum Beach News,"Black Press Group, Ltd.",Parksville,BC,WKL,AAM,03/2014-AR,,"15,443"
Pascack Valley Community Life,North Jersey Media Group,Westwood,NJ,WKL,AAM,12/2013-AR,,"14,431"
Patriot Ledger,GateHouse Media,Quincy,MA,DLY,AAM,12/2013-AR,"42,533","33,484"
Patriot Ledger-Canton Journal,GateHouse Media,Quincy,MA,BE,AAM,12/2013-AR,,
Patriot Ledger-Dedham Transcript,GateHouse Media,Quincy,MA,BE,AAM,12/2013-AR,,
Patriot Ledger-Kingston Reporter,GateHouse Media,Quincy,MA,BE,AAM,Click Qtrly,,
Patriot Ledger-Norwood Bulletin,GateHouse Media,Quincy,MA,BE,AAM,12/2013-AR,,
Patriot Ledger-Pembroke Reporter,GateHouse Media,Quincy,MA,BE,AAM,Click Qtrly,,
Patriot Ledger-Sharon Advocate,GateHouse Media,Quincy,MA,BE,AAM,12/2013-AR,,
Patriot Ledger-Walpole Times,GateHouse Media,Quincy,MA,BE,AAM,12/2013-AR,,
Patriot-News Sunday Patriot News,The Patriot-News,Harrisburg,PA,DLY,AAM,03/2013-AR,"128,512","17,834"
Patriot-News Sunday Patriot News-Go Express,The Patriot-News,Harrisburg,PA,BE,AAM,03/2013-AR,,"14,853"
Patriot-News Sunday Patriot News-Pn Community,The Patriot-News,Harrisburg,PA,BE,AAM,03/2013-AR,"1,184",
Patriot-News Sunday Patriot News-Saving Money,The Patriot-News,Harrisburg,PA,BE,AAM,03/2013-AR,"7,418",
Paulding Neighbor,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"23,921"
Peace Arch News,"Black Press Group, Ltd.",South Surrey,BC,WKL,AAM,12/2013-AR,,"37,510"
Penfield Post,Messenger Post Newspapers,Canandaigua,NY,WKL,CAC,06/2012-AR,,"4,739"
Peninsula Daily News,Black Press Ltd,Port Angeles,WA,CND,AAM,03/2013-AR,"14,984","13,279"
Peninsula News Review,"Black Press Group, Ltd.",Sidney,BC,WKL,AAM,03/2014-AR,,"14,132"
Pensacola News Journal,Gannett Company Inc.,Pensacola,FL,DLY,AAM,12/2012-AR,"54,699","37,172"
Penticton Herald,Continental Newspapers (Canada) Ltd.,Penticton,BC,CND,AAM,12/2012-AR,"6,509","6,594"
Penticton Western News,"Black Press Group, Ltd.",Penticton,BC,WKL,AAM,03/2014-AR,,"21,240"
Peoria Independent,Independent Newsmedia Inc USA,Sun City,AZ,WKL,CAC,12/2012-AR,,"15,670"
Periodico El Oriental,"El Oriental, Inc.",Humacao,PR,WKL,CAC,12/2013-AR,,"69,500"
Periodico El Regional de Guayama,"El Oriental, Inc.",Guayama,PR,WKL,CAC,12/2013-AR,,"49,500"
Periodico Horizonte,El Nuevo Dia,Guaynabo,PR,WKL,CAC,12/2012-AR,,"31,975"
Periodico La Opinion Del Sur,"El Oriental, Inc.",Ponce,PR,WKL,CAC,12/2013-AR,,"59,500"
Perkasie News Herald,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,"2,317"
Petoskey News-Review,"Northern Michigan Review, Inc.",Petoskey,MI,CND,AAM,09/2013-AR,,"6,945"
Philadelphia Inquirer,"Philadelphia Media Network, LLC, d/b/a/ Interstate General Media",Philadelphia,PA,DLY,AAM,03/2013-AR,"472,995","301,639"
Philadelphia Inquirer-Philadelphia Advantage,"Philadelphia Media Network, LLC, d/b/a/ Interstate General Media",Philadelphia,PA,BE,AAM,Click Qtrly,,
Philadelphia Inquirer-Philadelphia Sportsweek,"Philadelphia Media Network, LLC, d/b/a/ Interstate General Media",Philadelphia,PA,BE,AAM,03/2013-AR,"21,142",
Philadelphia Inquirer-The Philadelphia Daily News,"Philadelphia Media Network, LLC, d/b/a/ Interstate General Media",Philadelphia,PA,BE,AAM,03/2013-AR,,"56,728"
Philippines Today,Philippines Today,San Bruno,CA,WKL,CAC,09/2013-AR,,"29,952"
Pine Bluff Commercial,Stephens Media Group,Pine Bluff,AR,DLY,CAC,09/2012-AR,"12,199","11,938"
Pittsburgh Post-Gazette,"Block Communications, Inc.",Pittsburgh,PA,DLY,AAM,03/2013-AR,"300,982","177,411"
Pittsburgh Post-Gazette-Sunday Extra,"Block Communications, Inc.",Pittsburgh,PA,BE,AAM,03/2013-AR,"42,944",
Plain Dealer Plain Dealer Sunday,Plain Dealer Publishing Co.,Cleveland,OH,DLY,AAM,12/2012-AR,"448,514","294,939"
Plain Dealer Plain Dealer Sunday-Pdwrap-Up,Plain Dealer Publishing Co.,Cleveland,OH,BE,AAM,12/2012-AR,"60,375",
Plymouth,ECM-Sun Group LLC,Eden Prairie,MN,WKL,CAC,09/2012-AR,,"17,668"
Plymouth Observer,Gannett Newspapers,Livonia,MI,WKL,CAC,03/2012-AR,"4,956","4,856"
Port Arthur News,"Community Newspaper Holdings, Inc. (CNHI)",Port Arthur,TX,CND,AAM,12/2012-AR,"10,828","9,932"
Port Orchard Independent,Sound Publishing,Silverdale,WA,WKL,CAC,03/2012-AR,,"17,777"
Port Townsend Leader,Port Townsend Publishing Co.,Port Townsend,WA,WKL,CAC,09/2012-AR,,"7,006"
Portage Daily Register,"Lee Enterprises, Incorporated",Portage,WI,CND,AAM,06/2013-AR,"3,960","4,097"
Portland Press Herald,MaineToday Media,Portland,ME,DLY,AAM,09/2013-AR,"64,898","44,232"
"Portsmouth Herald, Seacoast Sunday","Local Media Group, Inc.",Portsmouth,NH,CND,AAM,12/2013-AR,"17,075","11,528"
Post And Courier,Evening Post Publishing Company (EPPC),Charleston,SC,DLY,AAM,03/2013-AR,"91,132","82,875"
Post Register,Post Register,Idaho Falls,ID,DLY,CAC,06/2013-AR,"27,443","24,454"
Post Review,ECM Publishers Inc.,Cambridge,MN,WKL,CAC,12/2012-AR,,"1,533"
Post-Crescent,Gannett Company Inc.,Appleton-Neenah-Menasha,WI,DLY,AAM,03/2012-AR,"55,684","38,335"
"Post-Journal, Sunday Post Journal","Ogden Newspapers, Inc.",Jamestown,NY,CND,AAM,06/2012-AR,"16,437","14,849"
Post-Standard,"Advance Publications, Inc.",Syracuse,NY,DLY,AAM,03/2013-AR,"127,775","16,148"
Post-Star,"Lee Enterprises, Incorporated",Glens Falls,NY,DLY,AAM,06/2012-AR,"29,124","25,654"
Poughkeepsie Journal,Gannett Company Inc.,Poughkeepsie,NY,DLY,AAM,03/2013-AR,"34,921","24,628"
POW,BH Media Group,Hickory,NC,WKL,CAC,12/2012-AR,,"26,962"
Press & News Group,ECM Sun Group LLC,Osseo,MN,WKL,CAC,09/2012-AR,,"48,964"
Press & Sun-Bulletin,Gannett Company Inc.,Binghamton,NY,DLY,AAM,09/2012-AR,"50,356","34,990"
Press (Addison/Bensenville/Wood Dale),Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,331
Press (Bloomingdale/Roselle/Carol Stream,Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,"1,196"
"Press (Warrenville, Winfield, W. Chicago",Shaw Media,Burr Ridge,IL,WKL,CAC,03/2013-AR,,354
Press Democrat,"Sonoma Media Investments, LLC",Santa Rosa,CA,DLY,AAM,09/2013-AR,"54,942","51,364"
Press Democrat-The Petaluma Argus-Courier,"Sonoma Media Investments, LLC",Santa Rosa,CA,BE,AAM,09/2013-AR,,"5,423"
Press Democrat-The Sonoma Index Tribune,"Sonoma Media Investments, LLC",Santa Rosa,CA,BE,AAM,09/2013-AR,,"2,530"
Press Enterprise,"Press Enterprise, Inc.",Bloomsburg,PA,DLY,CAC,12/2013-AR,"20,282","18,956"
Press of Atlantic City,BH Media,Atlantic City,NJ,DLY,AAM,09/2013-AR,"77,409","68,173"
Press of Atlantic City-Sunday Saver,BH Media,Atlantic City,NJ,BE,AAM,09/2013-AR,"14,485",
Press-Register,"Advance Publications, Inc.",Mobile,AL,DLY,AAM,06/2013-AR,"93,185","68,120"
Press-Register-The Mississippi Press,"Advance Publications, Inc.",Mobile,AL,BE,AAM,06/2013-AR,"10,037","8,013"
Press-Register-Yes! Your Essential Shopper,"Advance Publications, Inc.",Mobile,AL,BE,AAM,06/2013-AR,"4,719",
Press-Republican,"Community Newspaper Holdings, Inc. (CNHI)",Plattsburgh,NY,CND,AAM,12/2012-AR,"18,395","17,218"
Prime Publisher's Inc.,Prime Publisher's Inc.,Southbury,CT,WKL,CAC,09/2013-AR,,"76,994"
Primera Hora,"Editorial Primera Hora, Inc.",San Juan,PR,DLY,AAM,12/2013-AR,"80,629","109,782"
Prince George Citizen,Glacier Ventures International Corp.,Prince George,BC,CND,AAM,09/2013-AR,,"9,925"
Prince William Today,HPR-Hemlock LLC d/b/a Northern Virginia Media Serv,Leesburg,VA,WKL,CAC,See Reports,,
Princeton Packet (Early),"The Princeton Packet, Inc.",Princeton,NJ,WKL,CAC,06/2012-AR,,"5,333"
Princeton Packet (Late),"The Princeton Packet, Inc.",Princeton,NJ,WKL,CAC,06/2012-AR,,"19,513"
Princeton Town & Country,ECM Publishers Inc.,Princeton,MN,WKL,CAC,12/2012-AR,,"16,294"
Princeton Union Eagle,ECM Publishers Inc.,Princeton,MN,WKL,CAC,12/2012-AR,,"2,281"
Progress Index,The Progress-Index,Petersburg,VA,CND,AAM,06/2013-AR,"12,086","9,846"
