Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
CHICAGO SUN-TIMES.COM-Joliet Shorewood Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"10,847"
"CHICAGO SUN-TIMES.COM-La Grange, Burr Ridge, Western Springs And Willowbrook Preview","Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"5,691"
CHICAGO SUN-TIMES.COM-Lake County News-Sun,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"14,232","11,815"
CHICAGO SUN-TIMES.COM-Lake Forest Lake Bluff Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"6,181"
CHICAGO SUN-TIMES.COM-Lake Forester,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,046"
CHICAGO SUN-TIMES.COM-Lake Villa And Lindenhurst Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,635"
CHICAGO SUN-TIMES.COM-Lake Zurich Courier,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,570"
CHICAGO SUN-TIMES.COM-Libertyville Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,797"
CHICAGO SUN-TIMES.COM-Lincolnshire Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,739
CHICAGO SUN-TIMES.COM-Lincolnwood Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,099"
CHICAGO SUN-TIMES.COM-Merrillville Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,336"
CHICAGO SUN-TIMES.COM-Morton Grove Champion,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,092"
CHICAGO SUN-TIMES.COM-Mundelein Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,982"
CHICAGO SUN-TIMES.COM-Naperville Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"20,462"
CHICAGO SUN-TIMES.COM-Naperville Sun,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"11,344","11,191"
CHICAGO SUN-TIMES.COM-Niles Herald-Spectator,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,694"
CHICAGO SUN-TIMES.COM-Norridge & Harwood Heights News,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,174"
CHICAGO SUN-TIMES.COM-Northbrook Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"11,420"
CHICAGO SUN-TIMES.COM-Northbrook Star,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,527"
CHICAGO SUN-TIMES.COM-Oak Forest Crestwood Midlothian Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"13,303"
CHICAGO SUN-TIMES.COM-Oak Lawn Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"18,098"
CHICAGO SUN-TIMES.COM-Oak Park Oak Leaves,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"3,603"
CHICAGO SUN-TIMES.COM-Orland Park Preview,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"9,804"
CHICAGO SUN-TIMES.COM-Park Ridge Herald-Advocate,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"5,545"
CHICAGO SUN-TIMES.COM-Post-Tribune,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"34,417","32,571"
CHICAGO SUN-TIMES.COM-River Forest Forest Leaves,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"1,271"
CHICAGO SUN-TIMES.COM-Skokie Review,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"4,169"
CHICAGO SUN-TIMES.COM-Southtownstar,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"39,536","30,243"
CHICAGO SUN-TIMES.COM-The Beacon-News,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"17,078","15,194"
CHICAGO SUN-TIMES.COM-The Courier-News,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,"3,984","3,595"
CHICAGO SUN-TIMES.COM-The Doings Clarendon Hills,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,916
CHICAGO SUN-TIMES.COM-The Doings Hinsdale,"Wrapports, LLC",Chicago,IL,BE,AAM,03/2013-AR,,"2,078"
